initial_r_1,initial_r_2,r_1,r_2,ED_1,ED_2,initial_a_1,initial_a_2,initial_a_3,initial_a_4,a_1,a_2,a_3,a_4,EA_1,EA_2,EA_3,EA_4,ED_vec_max,EA_vec_max,Algo,Converged,Iterations
0.01,0.01,2.9070446301138073,2.996051898027708,-5.3290705182007514e-14,1.7763568394002505e-13,3.0,3.0,3.0,3.0,12.888848537435292,22.044730252586795,3.6503954796762974,5.517693470905697,1.2789769243681803e-13,1.0658141036401503e-13,1.5143442055887135e-13,2.2293278334473143e-13,1.7763568394002505e-13,2.2293278334473143e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138158,2.996051898027709,-2.3092638912203256e-13,-3.907985046680551e-14,3.0,3.0,3.0,1.5,12.888848537435086,22.044730252587,3.6503954796764053,5.517693470905922,1.9184653865522705e-13,-1.4210854715202004e-14,-3.375077994860476e-14,1.7763568394002505e-14,2.3092638912203256e-13,1.9184653865522705e-13,LBFGS,1.0,2.0
0.01,0.01,2.907044630113814,2.996051898027708,2.8421709430404007e-13,3.552713678800501e-15,3.0,3.0,3.0,1.0,12.888848537435305,22.04473025258664,3.6503954796769076,5.517693470905723,2.3803181647963356e-13,1.1013412404281553e-13,-4.5075054799781356e-13,1.5898393712632242e-13,2.8421709430404007e-13,4.5075054799781356e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138095,2.996051898027709,-2.3092638912203256e-13,2.1316282072803006e-14,3.0,3.0,3.0,0.75,12.888848537435235,22.044730252587147,3.6503954796761384,5.517693470906,2.6645352591003757e-14,-1.0302869668521453e-13,2.589040093425865e-13,-4.618527782440651e-14,2.3092638912203256e-13,2.589040093425865e-13,LBFGS,1.0,1.0
0.01,0.01,2.907044630113824,2.9960518980277095,-6.359357485052897e-13,-7.105427357601002e-14,3.0,3.0,3.0,0.6,12.88884853743523,22.044730252586945,3.6503954796762392,5.517693470906081,-2.3092638912203256e-14,7.105427357601002e-14,6.261657858885883e-14,-1.3500311979441904e-13,6.359357485052897e-13,1.3500311979441904e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138024,2.996051898027709,7.815970093361102e-14,-2.842170943040401e-14,3.0,3.0,1.5,3.0,12.888848537435264,22.04473025258717,3.6503954796761775,5.517693470906122,4.973799150320701e-14,-1.3145040611561853e-13,2.753353101070388e-13,-1.6964207816272392e-13,7.815970093361102e-14,2.753353101070388e-13,LBFGS,1.0,1.0
0.01,0.01,2.907044630113814,2.996051898027709,1.5987211554602254e-13,-8.881784197001252e-14,3.0,3.0,1.5,1.5,12.888848537435424,22.04473025258661,3.6503954796767175,5.517693470906455,1.0658141036401503e-14,2.5224267119483557e-13,-2.8910207561239076e-13,-5.46229728115577e-13,1.5987211554602254e-13,5.46229728115577e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138118,2.996051898027709,-1.0658141036401503e-13,-7.815970093361102e-14,3.0,3.0,1.5,1.0,12.888848537435596,22.04473025258709,3.650395479676258,5.517693470906022,-2.1671553440683056e-13,-1.6342482922482304e-13,1.5942802633617248e-13,-9.769962616701378e-14,1.0658141036401503e-13,2.1671553440683056e-13,LBFGS,1.0,2.0
0.01,0.01,2.9070446301138118,2.996051898027709,2.4868995751603507e-13,-9.592326932761353e-14,3.0,3.0,1.5,0.75,12.888848537435459,22.044730252586984,3.650395479676744,5.517693470906402,-4.618527782440651e-14,-8.526512829121202e-14,-3.0686564400639327e-13,-4.849454171562684e-13,2.4868995751603507e-13,4.849454171562684e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138047,2.9960518980277095,-2.3447910280083306e-13,1.7763568394002505e-14,3.0,3.0,1.5,0.6,12.888848537434995,22.044730252587325,3.650395479675992,5.517693470906338,1.3677947663381929e-13,-1.3145040611561853e-13,3.9968028886505635e-13,-3.481659405224491e-13,2.3447910280083306e-13,3.9968028886505635e-13,LBFGS,1.0,1.0
0.01,0.01,2.907044630113813,2.996051898027708,1.2079226507921703e-13,3.197442310920451e-14,3.0,3.0,1.0,3.0,12.888848537435923,22.04473025258661,3.6503954796765594,5.517693470905822,-3.0730973321624333e-13,8.171241461241152e-14,-8.79296635503124e-14,4.529709940470639e-14,1.2079226507921703e-13,3.0730973321624333e-13,LBFGS,1.0,1.0
0.01,0.01,2.907044630113824,2.996051898027709,-2.2382096176443156e-13,-1.6342482922482304e-13,3.0,3.0,1.0,1.5,12.888848537435218,22.044730252586778,3.6503954796766727,5.517693470905788,1.4921397450962104e-13,8.171241461241152e-14,-3.206324095117452e-13,1.199040866595169e-13,2.2382096176443156e-13,3.206324095117452e-13,LBFGS,1.0,2.0
0.01,0.01,2.9070446301138246,2.996051898027709,-1.2789769243681803e-13,-1.8474111129762605e-13,3.0,3.0,1.0,1.0,12.888848537435488,22.044730252586355,3.6503954796767384,5.5176934709060745,-1.7763568394002505e-14,4.014566457044566e-13,-3.623767952376511e-13,-1.9273471707492718e-13,1.8474111129762605e-13,4.014566457044566e-13,LBFGS,1.0,2.0
0.01,0.01,2.907044630113806,2.996051898027708,4.618527782440651e-14,2.877698079828406e-13,3.0,3.0,1.0,0.75,12.888848537434937,22.044730252586845,3.650395479676518,5.5176934709060035,4.0323300254385686e-13,1.4566126083082054e-13,-7.72715225139109e-14,-6.128431095930864e-14,2.877698079828406e-13,4.0323300254385686e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138086,2.996051898027709,-2.842170943040401e-14,-6.394884621840902e-14,3.0,3.0,1.0,0.6,12.888848537435349,22.044730252587325,3.6503954796762836,5.517693470905962,-2.842170943040401e-14,-3.232969447708456e-13,1.376676550535194e-13,-1.865174681370263e-14,6.394884621840902e-14,3.232969447708456e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138113,2.996051898027708,5.3290705182007514e-14,1.5987211554602254e-13,3.0,3.0,0.75,3.0,12.888848537435287,22.04473025258704,3.6503954796766283,5.517693470905767,1.4210854715202004e-13,-1.6342482922482304e-13,-1.9229062786507711e-13,1.4654943925052066e-13,1.5987211554602254e-13,1.9229062786507711e-13,LBFGS,1.0,1.0
0.01,0.01,2.90704463011382,2.996051898027708,6.039613253960852e-14,0.0,3.0,3.0,0.75,1.5,12.888848537435333,22.04473025258674,3.6503954796768996,5.517693470905513,1.829647544582258e-13,3.552713678800501e-15,-4.858335955759685e-13,3.668176873361517e-13,6.039613253960852e-14,4.858335955759685e-13,LBFGS,1.0,1.0
0.01,0.01,3.0135340734601535,3.318227835102569e-102,-0.19427985006477755,-2.421427568121425,3.0,3.0,0.75,1.0,26.953516126997535,12.945930459704885,6.72930486764694,7.789909200705645e-8,0.01207717144196252,-0.03630937653822386,0.01209345696293429,3.437050055279477,2.421427568121425,3.437050055279477,LBFGS,1.0,7.0
0.01,0.01,3.01353406782931,8.068220858016367e-120,-0.19427985414683135,-2.4214275478948712,3.0,3.0,0.75,1.0,26.95351617138031,12.945930486839954,6.729304879859053,7.7899095596179e-8,0.01207716358715416,-0.036309362378467824,0.012093453882813243,3.43705006948652,2.4214275478948712,3.43705006948652,NM,1.0,342.0
